date_time,Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft),Verified (m),diked_model_m,volume_m3,Qtotal_m3s
2022-07-21 15:48:00,2022/07/21,15:48,1.302,-,1.82,0.554736,1.3168290019215656,801484.0892861708,26.082865224627856
2022-07-21 15:54:00,2022/07/21,15:54,1.243,-,1.76,0.536448,1.3014534170618177,792094.2578053047,27.05359304703958
2022-07-21 16:00:00,2022/07/21,16:00,1.196,-,1.72,0.524256,1.2855055979831422,782354.9643083705,27.433354808185097
2022-07-21 16:06:00,2022/07/21,16:06,1.162,-,1.69,0.515112,1.2693339131928323,772478.9565774238,4.085821774705835
2022-07-21 16:12:00,2022/07/21,16:12,1.141,-,1.66,0.505968,1.2669253626414352,771008.0607385298,4.101101708750717
2022-07-21 16:18:00,2022/07/21,16:18,1.133,-,1.64,0.499872,1.264507804723687,769531.6641233795,28.520927740514015
2022-07-21 16:24:00,2022/07/21,16:24,1.137,-,1.64,0.499872,1.2475743540068815,759264.1301367944,27.908745221857252
2022-07-21 16:30:00,2022/07/21,16:30,1.153,-,1.67,0.509016,1.2309401711807828,749216.9818569258,4.011584961327506
2022-07-21 16:36:00,2022/07/21,16:36,1.181,-,1.72,0.524256,1.228549184515539,747772.8112708479,3.970358326001746
2022-07-21 16:42:00,2022/07/21,16:42,1.22,-,1.77,0.5394960000000001,1.2261827697679453,746343.4822734873,23.56470278254805
2022-07-21 16:48:00,2022/07/21,16:48,1.269,-,1.84,0.560832,1.2121377250620087,737860.18927177,20.406121773241786
2022-07-21 16:54:00,2022/07/21,16:54,1.329,-,1.95,0.59436,1.1999752592238135,730513.9854334029,13.974933776511975
2022-07-21 17:00:00,2022/07/21,17:00,1.398,-,2.06,0.627888,1.1915795315460764,725483.0092738586,3.621145773304583
2022-07-21 17:06:00,2022/07/21,17:06,1.476,-,2.15,0.65532,1.1893943434196927,724179.396795469,3.5422026466311314
2022-07-21 17:12:00,2022/07/21,17:12,1.563,-,2.24,0.6827520000000001,1.1872567936911715,722904.2038426818,3.4611709803569517
2022-07-21 17:18:00,2022/07/21,17:18,1.657,-,2.38,0.725424,1.1851681426941811,721658.1822897533,3.3338486084513614
2022-07-21 17:24:00,2022/07/21,17:24,1.759,-,2.5,0.762,1.1831563246535888,720457.9967907108,1.2291413147293964
2022-07-21 17:30:00,2022/07/21,17:30,1.868,-,2.59,0.789432,1.1824145967103517,720015.5059174083,1.2096447275357813
2022-07-21 17:36:00,2022/07/21,17:36,1.984,-,2.66,0.810768,1.1816846340241653,719580.0338154954,1.1938813726687163
2022-07-21 17:42:00,2022/07/21,17:42,2.106,-,2.79,0.850392,1.180964183768034,719150.2365213347,1.1637962551789947
2022-07-21 17:48:00,2022/07/21,17:48,2.235,-,2.92,0.890016,1.1802618884401035,718731.2698694703,1.1318268858458989
2022-07-21 17:54:00,2022/07/21,17:54,2.369,-,3.07,0.935736,1.1795788850961604,718323.8121905657,1.092148973161862
2022-07-21 18:00:00,2022/07/21,18:00,2.509,-,3.27,0.996696,1.1789198254731015,717930.6385602275,1.0330582606053982
2022-07-21 18:06:00,2022/07/21,18:06,2.654,-,3.46,1.054608,1.17829642426634,717558.7375864096,0.9666787320633108
2022-07-21 18:12:00,2022/07/21,18:12,2.805,-,3.63,1.106424,1.1777130799274005,717210.7332428668,0.891902498784628
2022-07-21 18:18:00,2022/07/21,18:18,2.962,-,3.79,1.155192,1.1771748594656328,716889.6483433044,0.7870717971707857
2022-07-21 18:24:00,2022/07/21,18:24,3.124,-,3.98,1.213104,1.1766998993139404,716606.3024963229,-0.5873070523060224
2022-07-21 18:30:00,2022/07/21,18:30,3.291,-,4.11,1.252728,1.1770543110050413,716817.733035153,-1.1366420088463536
2022-07-21 18:36:00,2022/07/21,18:36,3.463,-,4.32,1.3167360000000001,1.1777402200452105,717226.9241583376,-1.7735874147992843
2022-07-21 18:42:00,2022/07/21,18:42,3.64,-,4.48,1.3655040000000003,1.1788104951466698,717865.4156276654,-2.1597910241347655
2022-07-21 18:48:00,2022/07/21,18:48,3.823,-,4.63,1.411224,1.1801138256384172,718642.9403963538,-2.4769102620561285
2022-07-21 18:54:00,2022/07/21,18:54,4.01,-,4.83,1.4721840000000002,1.1816085224094406,719534.6280906941,-2.856937368747202
2022-07-21 19:00:00,2022/07/21,19:00,4.202,-,5.0,1.524,1.1833325473470808,720563.125543443,-3.1477137497495313
2022-07-21 19:06:00,2022/07/21,19:06,4.398,-,5.22,1.591056,1.1852320419109055,721696.3024933529,-3.495575531108262
2022-07-21 19:12:00,2022/07/21,19:12,4.599,-,5.43,1.655064,1.1873414544072947,722954.7096845519,-3.800967340642196
2022-07-21 19:18:00,2022/07/21,19:18,4.803,-,5.63,1.716024,1.1896351562413314,724323.0579271831,-4.0722406352500125
